27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item4.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item5.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item6.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season03disk2
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:41 - valid Season found! >>> 3
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item1.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item2.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item3.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item4.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item5.txt
27.03.2024 - 08:29:43 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:55 - Episode-File: item6.txt
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:19 - Directory removed successfully >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:19 - Directory removed successfully >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc2
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:19 - Directory removed successfully >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season02disc1
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:19 - Directory removed successfully >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season02disc2
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:19 - Directory removed successfully >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season03disc1
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:19 - Directory removed successfully >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season03disk2
27.03.2024 - 08:29:44 | rename_tool.tool.rename_class |  41756  - INFO     - rename_class.py:71 - success!
27.03.2024 - 08:29:57 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:57 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:29:59 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/season01disc1
27.03.2024 - 08:31:17 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/Season 01
27.03.2024 - 08:31:17 | rename_tool.tool.rename_class |  41756  - DEBUG    - rename_class.py:36 - active season path >>> Z:/Dennis/rename_tool/test_data_01/Game of Thrones/Season 01
