09.04.2024 - 08:47:12 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Kasachstan
09.04.2024 - 08:47:15 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Mexiko
09.04.2024 - 08:47:20 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Ecuador
09.04.2024 - 08:47:23 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Saudi-Arabien
09.04.2024 - 08:47:29 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Kamerun
09.04.2024 - 08:47:34 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Brunei
09.04.2024 - 08:47:37 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Montenegro
09.04.2024 - 08:47:43 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> SÃ¼dafrika
09.04.2024 - 08:47:48 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Vereinigte Staaten von Amerika
09.04.2024 - 08:47:53 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Argentinien
09.04.2024 - 08:48:02 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Brunei
09.04.2024 - 08:48:10 | __chat_bot__ |  640    - DEBUG    - main.py   :118 - Message sent >>> Belarus
09.04.2024 - 08:51:36 | __chat_bot__ |  29676  - DEBUG    - main.py   :238 - Startup Chat-Bot >>> {'x': 2226, 'y': 60, 'delay_min': 1, 'delay_max': 8, 'template_file': 'C:/Users/hildwein/Documents/GitHub/Python_Own/Annoying/chatbot/src/templates_messages.txt'}
09.04.2024 - 08:51:48 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Ukraine
09.04.2024 - 08:51:56 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Korea, Nord
09.04.2024 - 08:52:01 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Osttimor
09.04.2024 - 08:52:06 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Uruguay
09.04.2024 - 08:52:07 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Korea, Nord
09.04.2024 - 08:52:10 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Komoren
09.04.2024 - 08:52:18 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Kasachstan
09.04.2024 - 08:52:21 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Laos
09.04.2024 - 08:52:29 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> Saudi-Arabien
09.04.2024 - 08:52:35 | __chat_bot__ |  31648  - DEBUG    - main.py   :118 - Message sent >>> TÃ¼rkei
